	docid	citation
55	ARSENOPYRITE-MELTING-DURING-METAMORPHISM-OF.html	Andrew G. Tomkins, B. Ronald Frost, David R.M. Pattison; ARSENOPYRITE MELTING DURING METAMORPHISM OF SULFIDE ORE DEPOSITS. The Canadian Mineralogist 2006;; 44 (5): 1045–1062. doi: https://doi.org/10.2113/gscanmin.44.5.1045
56	ASSEMBLAGES-OF-Ag-Bi-SULFOSALTS-AND-CONDITIONS-OF.html	Sebastian Staude, Alevtina Dorn, Katharina Pfaff, Gregor Markl; ASSEMBLAGES OF Ag–Bi SULFOSALTS AND CONDITIONS OF THEIR FORMATION: THE TYPE LOCALITY OF SCHAPBACHITE (Ag0.4Pb0.2Bi0.4S) AND NEIGHBORING MINES IN THE SCHWARZWALD ORE DISTRICT, SOUTHERN GERMANY. The Canadian Mineralogist 2010;; 48 (3): 441–466. doi: https://doi.org/10.3749/canmin.48.3.441
57	ASSIMILATION-OF-COUNTRY-ROCK-ILMENITE-AND-RUTILE.html	D. Barrie Clarke, Sarah Carruzzo; ASSIMILATION OF COUNTRY-ROCK ILMENITE AND RUTILE IN THE SOUTH MOUNTAIN BATHOLITH, NOVA SCOTIA, CANADA. The Canadian Mineralogist 2007;; 45 (1): 31–42. doi: https://doi.org/10.2113/gscanmin.45.1.31
58	ASSIMILATION-OF-XENOCRYSTS-IN-GRANITIC-MAGMAS.html	D. Barrie Clarke; ASSIMILATION OF XENOCRYSTS IN GRANITIC MAGMAS: PRINCIPLES, PROCESSES, PROXIES, AND PROBLEMS. The Canadian Mineralogist 2007;; 45 (1): 5–30. doi: https://doi.org/10.2113/gscanmin.45.1.5
59	ASSOCIATED-A-TYPE-SUBALKALINE-AND-HIGH-K-CALC.html	Valdecir de Assis Janasi, Silvio Roberto Farias Vlach, Mário da Costa Campos Neto, Horstpeter H.G.J. Ulbrich; ASSOCIATED A-TYPE SUBALKALINE AND HIGH-K CALC-ALKALINE GRANITES IN THE ITU GRANITE PROVINCE, SOUTHEASTERN BRAZIL: PETROLOGICAL AND TECTONIC SIGNIFICANCE. The Canadian Mineralogist 2009;; 47 (6): 1505–1526. doi: https://doi.org/10.3749/canmin.47.6.1505
60	ASSOCIATIONS-OF-PLATINUM-GROUP-MINERALS-FROM-THE.html	Galina G. Shcheka, Alexandr A. Vrzhosek, Bernd Lehmann, Nadezhda D. Tolstykh; ASSOCIATIONS OF PLATINUM-GROUP MINERALS FROM THE ZOLOTAYA GOLD PLACER, PRIMORYE, RUSSIAN FAR EAST. The Canadian Mineralogist 2004;; 42 (2): 583–599. doi: https://doi.org/10.2113/gscanmin.42.2.583
61	ATHENEITE-Pd2-As0-75Hg0-25-FROM-ITABIRA-MINAS.html	Luca Bindi; ATHENEITE, [Pd2][As0.75Hg0.25], FROM ITABIRA, MINAS GERAIS, BRAZIL: CRYSTAL STRUCTURE AND REVISION OF THE CHEMICAL FORMULA. The Canadian Mineralogist 2010;; 48 (5): 1149–1155. doi: https://doi.org/10.3749/canmin.48.5.1149
62	ATTENUATED-TOTAL-REFLECTION-INFRARED.html	Rositsa Titorenkova, Biliana Gasharova, Boriana Mihailova, Ludmil Konstantinov; ATTENUATED TOTAL-REFLECTION INFRARED MICROSPECTROSCOPY OF PARTIALLY DISORDERED ZIRCON. The Canadian Mineralogist 2010;; 48 (6): 1409–1421. doi: https://doi.org/10.3749/canmin.48.5.1409
63	As-BEARING-FLUORAPATITE-IN-MANGANIFEROUS-DEPOSITS.html	Elena-Adriana Perseil, Philippe Blanc, Daniel Ohnenstetter; As-BEARING FLUORAPATITE IN MANGANIFEROUS DEPOSITS FROM ST. MARCEL – PRABORNA, VAL D’AOSTA, ITALY. The Canadian Mineralogist 2000;; 38 (1): 101–117. doi: https://doi.org/10.2113/gscanmin.38.1.101
64	BEUSITE-AND-AN-UNUSUAL-Mn-RICH-APATITE-FROM-THE.html	Adam Pieczka; BEUSITE AND AN UNUSUAL Mn-RICH APATITE FROM THE SZKLARY GRANITIC PEGMATITE, LOWER SILESIA, SOUTHWESTERN POLAND. The Canadian Mineralogist 2007;; 45 (4): 901–914. doi: https://doi.org/10.2113/gscanmin.45.4.901
