	docid	citation
94	e99-049.html	Craig JR Hart and Mike Villeneuve. 1999. Geochronology of Neogene alkaline volcanic rocks (Miles Canyon basalt), southern Yukon Territory, Canada: the relative effectiveness of laser 40Ar/39Ar and K-Ar geochronology. Canadian Journal of Earth Sciences.36(9): 1495-1507. https://doi.org/10.1139/e99-049
95	E09-014.html	WenyouTaoW. Tao and YangGaoY. Gao. 2009. Near real-time water vapor distribution surface rendering using Ordinary Kriging. Canadian Journal of Earth Sciences.46(8): 611-625. https://doi.org/10.1139/E09-014
96	e82-104.html	R. R. Reisz and M. J. Heaton. 1982. Bayloria morei Olson 1941 identified as an immature specimen of the Permian reptile Captorhinus aguti (Cope, 1882). Canadian Journal of Earth Sciences.19(6): 1232-1234. https://doi.org/10.1139/e82-104
97	e06-103.html	Jonathan M Adrain and Stephen R Westrop. 2007. Bearriverops, a new Lower Ordovician trilobite genus from the Great Basin, western USA, and classification of the family Dimeropygidae. Canadian Journal of Earth Sciences.44(3): 337-366. https://doi.org/10.1139/e06-103
98	e92-135.html	S. Henry Williams. 1992. Lower Ordovician (Arenig–Llanvirn) graptolites from the Notre Dame Subzone, central Newfoundland. Canadian Journal of Earth Sciences.29(8): 1717-1733. https://doi.org/10.1139/e92-135
99	cjes-2014-0054.html	CalvertAndrew J. and AndrewsGraham D.M.. 2014. New geoscientific constraints on the hydrocarbon potential of the Nechako–Chilcotin plateau of central British Columbia. Canadian Journal of Earth Sciences.51(4): v-ix. https://doi.org/10.1139/cjes-2014-0054
100	cjes-2014-0069.html	EberthDavid A. and BellPhil R.. 2014. Stratigraphy of the Danek Bonebed (Upper Cretaceous Horseshoe Canyon Formation, central Alberta) and correlations with strata in the Drumheller and Grande Prairie regions. Canadian Journal of Earth Sciences.51(11): 975-981. https://doi.org/10.1139/cjes-2014-0069
101	e2012-051.html	CifelliRichard L., GordonCynthia L., and LipkaThomas R.. 2013. New multituberculate mammal from the Early Cretaceous of eastern North America. Canadian Journal of Earth Sciences.50(3): 315-323. https://doi.org/10.1139/e2012-051
102	e00-083.html	Wayne F Braunberger and Russell L Hall. 2001. Ammonoid faunas from the Cardium Formation (Turonian-Coniacian, Upper Cretaceous) and contiguous units, Alberta, Canada: I. Scaphitidae. Canadian Journal of Earth Sciences.38(3): 333-346. https://doi.org/10.1139/e00-083
103	e2012-044.html	ScottCraig S., SpivakDaniel N., and SweetArthur R.. 2013. First mammals from the Paleocene Porcupine Hills Formation of southwestern Alberta, Canada. Canadian Journal of Earth Sciences.50(3): 355-378. https://doi.org/10.1139/e2012-044
